region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023
394669,49,Hartford,CT,0.66,0.60,0.51,0.42,0.43,0.31,0.22,0.30,0.31,0.20,0.19,0.29,0.33,0.28
394425,50,Buffalo,NY,0.55,0.49,0.39,0.31,0.33,0.27,0.18,0.22,0.27,0.21,0.16,0.27,0.37,0.39
394388,51,Birmingham,AL,0.59,0.51,0.48,0.44,0.42,0.32,0.28,0.32,0.32,0.26,0.30,0.44,0.52,0.47
395031,52,Rochester,NY,0.53,0.41,0.32,0.28,0.33,0.23,0.15,0.21,0.24,0.16,0.14,0.23,0.28,0.24
394640,53,Grand Rapids,MI,0.55,0.45,0.39,0.36,0.36,0.24,0.20,0.27,0.28,0.18,0.24,0.41,0.49,0.39
395167,54,Tucson,AZ,0.54,0.50,0.45,0.38,0.38,0.27,0.24,0.32,0.34,0.26,0.34,0.51,0.57,0.52
753924,55,Urban Honolulu,HI,0.49,0.49,0.49,0.49,0.47,0.39,0.30,0.31,0.33,0.30,0.36,0.45,0.52,0.55
395169,56,Tulsa,OK,0.58,0.52,0.46,0.45,0.45,0.36,0.31,0.35,0.36,0.28,0.31,0.44,0.55,0.51
394619,57,Fresno,CA,0.51,0.45,0.43,0.36,0.34,0.27,0.22,0.24,0.24,0.19,0.31,0.47,0.53,0.43
395238,58,Worcester,MA,0.55,0.45,0.39,0.30,0.31,0.21,0.16,0.24,0.28,0.17,0.19,0.34,0.41,0.31
394938,59,Omaha,NE,0.56,0.50,0.36,0.35,0.35,0.22,0.21,0.30,0.31,0.19,0.25,0.38,0.43,0.33
394415,60,Bridgeport,CT,0.78,0.73,0.64,0.54,0.53,0.42,0.34,0.40,0.41,0.26,0.26,0.42,0.48,0.42
394653,61,Greenville,SC,0.64,0.58,0.56,0.53,0.51,0.40,0.30,0.34,0.34,0.28,0.32,0.48,0.60,0.57
394312,62,Albuquerque,NM,0.59,0.50,0.43,0.37,0.39,0.28,0.24,0.30,0.29,0.21,0.28,0.45,0.49,0.42
394357,63,Bakersfield,CA,0.48,0.43,0.40,0.33,0.33,0.27,0.21,0.24,0.27,0.23,0.32,0.46,0.50,0.43
394308,64,Albany,NY,0.65,0.58,0.48,0.40,0.44,0.34,0.23,0.31,0.38,0.31,0.23,0.36,0.46,0.42
394753,65,Knoxville,TN,0.63,0.55,0.49,0.46,0.47,0.34,0.28,0.35,0.36,0.27,0.33,0.50,0.55,0.49
394367,66,Baton Rouge,LA,0.59,0.57,0.57,0.51,0.51,0.43,0.39,0.41,0.41,0.38,0.42,0.49,0.55,0.55
394843,67,McAllen,TX,0.61,0.62,0.61,0.57,0.59,0.54,0.47,0.49,0.52,0.48,0.49,0.59,0.62,0.63
