region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023,5/31/2023
394753,65,Knoxville,TN,"$1,162.36 ","$1,162.37 ","$1,175.21 ","$1,225.82 ","$1,257.62 ","$1,311.64 ","$1,403.19 ","$1,469.43 ","$1,533.03 ","$1,609.49 ","$1,649.00 ","$1,686.66 ","$1,734.46 ","$1,750.59 ","$1,756.62 "
394367,66,Baton Rouge,LA,"$1,205.44 ","$1,210.25 ","$1,218.08 ","$1,232.66 ","$1,247.73 ","$1,267.08 ","$1,302.61 ","$1,352.94 ","$1,386.21 ","$1,401.57 ","$1,408.35 ","$1,400.77 ","$1,403.23 ","$1,409.23 ","$1,412.25 "
394843,67,McAllen,TX,$956.82 ,$962.51 ,$968.75 ,$982.74 ,"$1,004.86 ","$1,027.53 ","$1,059.92 ","$1,091.42 ","$1,112.72 ","$1,138.19 ","$1,155.44 ","$1,170.18 ","$1,185.37 ","$1,193.32 ","$1,195.45 "
394908,68,New Haven,CT,"$1,533.38 ","$1,554.70 ","$1,561.40 ","$1,607.40 ","$1,626.11 ","$1,671.61 ","$1,763.78 ","$1,798.73 ","$1,830.70 ","$1,906.22 ","$1,928.32 ","$1,971.15 ","$2,025.87 ","$2,022.42 ","$2,022.55 "
394561,69,El Paso,TX,"$1,132.74 ","$1,146.29 ","$1,171.18 ","$1,197.20 ","$1,214.62 ","$1,247.08 ","$1,288.98 ","$1,343.46 ","$1,394.00 ","$1,447.64 ","$1,482.59 ","$1,504.14 ","$1,527.43 ","$1,531.35 ","$1,532.48 "
394318,70,Allentown,PA,"$1,335.42 ","$1,330.73 ","$1,352.35 ","$1,410.52 ","$1,441.04 ","$1,501.63 ","$1,585.19 ","$1,635.31 ","$1,681.82 ","$1,709.44 ","$1,716.47 ","$1,729.86 ","$1,753.64 ","$1,771.20 ","$1,772.72 "
394952,71,Oxnard,CA,"$2,375.99 ","$2,371.86 ","$2,401.41 ","$2,455.87 ","$2,520.44 ","$2,616.35 ","$2,719.67 ","$2,814.18 ","$2,887.73 ","$2,931.56 ","$2,958.27 ","$2,975.83 ","$2,990.92 ","$3,004.09 ","$3,003.81 "
394486,72,Columbia,SC,"$1,106.16 ","$1,116.29 ","$1,127.53 ","$1,148.44 ","$1,183.26 ","$1,222.74 ","$1,277.82 ","$1,332.96 ","$1,352.14 ","$1,385.20 ","$1,407.87 ","$1,426.83 ","$1,464.66 ","$1,484.47 ","$1,489.21 "
753906,73,North Port,FL,"$1,577.77 ","$1,578.84 ","$1,581.44 ","$1,632.82 ","$1,703.76 ","$1,803.01 ","$2,009.29 ","$2,155.07 ","$2,247.16 ","$2,328.86 ","$2,328.84 ","$2,359.82 ","$2,415.95 ","$2,446.80 ","$2,449.12 "
845158,74,Dayton,OH,$971.60 ,$984.80 ,$996.50 ,"$1,012.11 ","$1,035.25 ","$1,064.89 ","$1,101.54 ","$1,135.88 ","$1,162.71 ","$1,192.14 ","$1,212.86 ","$1,232.15 ","$1,252.55 ","$1,259.73 ","$1,264.49 "
394457,75,Charleston,SC,"$1,423.68 ","$1,407.33 ","$1,402.36 ","$1,423.03 ","$1,469.43 ","$1,526.14 ","$1,612.41 ","$1,691.22 ","$1,739.17 ","$1,805.73 ","$1,858.11 ","$1,902.17 ","$1,959.30 ","$1,999.01 ","$2,001.63 "
394648,76,Greensboro,NC,"$1,090.10 ","$1,100.07 ","$1,122.63 ","$1,145.21 ","$1,175.59 ","$1,209.66 ","$1,257.60 ","$1,318.20 ","$1,365.42 ","$1,410.05 ","$1,441.41 ","$1,462.05 ","$1,486.55 ","$1,501.12 ","$1,507.60 "
395134,77,Stockton,CA,"$1,950.68 ","$1,946.47 ","$1,976.26 ","$2,053.35 ","$2,126.94 ","$2,225.32 ","$2,327.37 ","$2,358.09 ","$2,397.61 ","$2,440.30 ","$2,444.23 ","$2,468.41 ","$2,471.83 ","$2,453.50 ","$2,453.70 "
394440,78,Cape Coral,FL,"$1,401.17 ","$1,415.26 ","$1,430.80 ","$1,455.08 ","$1,494.53 ","$1,578.28 ","$1,726.06 ","$1,872.67 ","$1,974.51 ","$2,069.79 ","$2,120.04 ","$2,170.96 ","$2,245.86 ","$2,289.08 ","$2,283.79 "
394399,79,Boise City,ID,"$1,346.11 ","$1,343.89 ","$1,369.09 ","$1,451.92 ","$1,530.92 ","$1,627.20 ","$1,715.96 ","$1,760.51 ","$1,787.58 ","$1,821.45 ","$1,840.64 ","$1,849.03 ","$1,860.00 ","$1,856.00 ","$1,846.42 "
394484,80,Colorado Springs,CO,"$1,433.61 ","$1,433.80 ","$1,450.36 ","$1,495.98 ","$1,530.59 ","$1,597.82 ","$1,677.62 ","$1,717.47 ","$1,750.11 ","$1,790.29 ","$1,803.33 ","$1,825.31 ","$1,852.05 ","$1,853.99 ","$1,850.06 "
394798,81,Little Rock,AR,$940.10 ,$950.69 ,$968.96 ,$990.55 ,"$1,017.98 ","$1,043.52 ","$1,076.79 ","$1,104.59 ","$1,128.00 ","$1,145.07 ","$1,157.61 ","$1,173.59 ","$1,188.01 ","$1,202.01 ","$1,207.03 "
394766,82,Lakeland,FL,"$1,363.81 ","$1,372.95 ","$1,379.73 ","$1,427.50 ","$1,457.78 ","$1,516.44 ","$1,622.59 ","$1,716.95 ","$1,775.36 ","$1,848.63 ","$1,874.55 ","$1,882.68 ","$1,919.25 ","$1,920.04 ","$1,912.59 "
394304,83,Akron,OH,$890.50 ,$900.71 ,$911.20 ,$928.67 ,$959.39 ,$980.96 ,"$1,015.07 ","$1,041.13 ","$1,060.59 ","$1,108.82 ","$1,129.70 ","$1,157.11 ","$1,180.59 ","$1,170.05 ","$1,184.48 "
394531,84,Des Moines,IA,"$1,074.48 ","$1,069.40 ","$1,074.11 ","$1,085.94 ","$1,091.42 ","$1,102.56 ","$1,116.17 ","$1,140.00 ","$1,160.07 ","$1,184.94 ","$1,206.24 ","$1,215.57 ","$1,230.30 ","$1,236.74 ","$1,238.73 "
395115,85,Springfield,MA,"$1,376.58 ","$1,390.41 ","$1,413.34 ","$1,436.73 ","$1,468.06 ","$1,499.66 ","$1,527.28 ","$1,544.11 ","$1,571.53 ","$1,640.64 ","$1,682.27 ","$1,735.79 ","$1,770.38 ","$1,758.74 ","$1,773.84 "
845159,86,Poughkeepsie,NY,"$1,471.39 ","$1,491.48 ","$1,554.33 ","$1,614.42 ","$1,665.29 ","$1,701.23 ","$1,751.15 ","$1,840.95 ","$1,891.13 ","$1,938.79 ","$1,964.99 ","$1,963.03 ","$1,993.42 ","$2,016.84 ","$2,030.12 "
394931,87,Ogden,UT,"$1,324.19 ","$1,319.65 ","$1,342.13 ","$1,382.40 ","$1,423.42 ","$1,480.03 ","$1,562.32 ","$1,628.20 ","$1,687.07 ","$1,727.26 ","$1,745.97 ","$1,763.40 ","$1,779.80 ","$1,798.91 ","$1,795.73 "
394816,88,Madison,WI,"$1,198.59 ","$1,195.04 ","$1,195.34 ","$1,202.24 ","$1,211.56 ","$1,232.78 ","$1,258.79 ","$1,283.74 ","$1,300.36 ","$1,328.24 ","$1,357.87 ","$1,389.84 ","$1,435.25 ","$1,466.05 ","$1,478.19 "
395235,89,Winston,NC,"$1,218.37 ","$1,224.53 ","$1,255.59 ","$1,286.86 ","$1,325.13 ","$1,377.96 ","$1,433.04 ","$1,480.70 ","$1,529.06 ","$1,568.37 ","$1,596.04 ","$1,627.25 ","$1,648.72 ","$1,662.11 ","$1,666.99 "
394528,90,Deltona,FL,"$1,356.00 ","$1,358.54 ","$1,375.48 ","$1,414.55 ","$1,450.63 ","$1,501.88 ","$1,588.28 ","$1,682.62 ","$1,765.47 ","$1,833.84 ","$1,876.21 ","$1,894.91 ","$1,916.21 ","$1,932.44 ","$1,931.36 "
395143,91,Syracuse,NY,"$1,114.41 ","$1,130.68 ","$1,147.78 ","$1,162.91 ","$1,195.78 ","$1,224.15 ","$1,257.72 ","$1,302.74 ","$1,326.68 ","$1,363.71 ","$1,397.47 ","$1,420.58 ","$1,446.63 ","$1,462.97 ","$1,458.33 "
395006,92,Provo,UT,"$1,366.69 ","$1,372.05 ","$1,389.16 ","$1,427.16 ","$1,474.83 ","$1,524.46 ","$1,604.93 ","$1,672.44 ","$1,718.48 ","$1,775.18 ","$1,794.06 ","$1,806.65 ","$1,821.07 ","$1,815.78 ","$1,811.15 "
