region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023
845164,211,Lebanon,NH,33,33,33,40,55,53,55,52,51,47,47,45,41,40
394459,212,Charlottesville,VA,44,45,45,44,33,45,44,41,42,38,38,36,38,35
394773,214,Las Cruces,NM,37,36,40,40,42,39,40,41,40,39,36,35,29,34
394464,215,Chico,CA,32,33,34,35,33,31,31,31,30,29,29,29,28,27
394681,216,Hilton Head Island,SC,45,43,44,47,46,46,47,45,44,43,43,41,40,41
394346,217,Athens,GA,29,31,29,30,30,31,31,31,35,34,34,29,28,27
394765,218,Lake Havasu City,AZ,35,35,38,40,39,39,40,37,37,32,30,31,29,30
395114,220,Springfield,IL,39,43,47,48,46,45,45,43,43,41,41,38,36,36
394565,223,Elkhart,IN,26,27,31,37,32,38,41,40,38,37,38,37,35,34
394726,224,Johnson City,TN,38,40,40,42,43,40,40,39,41,38,36,35,36,36
395247,225,Yuma,AZ,34,34,35,38,45,37,44,41,39,38,35,32,30,28
394623,226,Gainesville,GA,30,30,31,32,31,30,30,28,31,30,30,30,29,29
394716,227,Jacksonville,NC,35,37,39,38,38,37,38,36,35,33,33,33,32,32
394597,228,Florence,SC,33,33,33,34,34,42,42,40,40,39,39,36,38,36
394680,229,Hilo,HI,47,48,48,49,50,50,51,49,49,46,44,43,42,41
395118,230,St. Cloud,MN,41,40,43,43,44,45,47,46,44,41,42,39,38,36
395011,231,Racine,WI,40,40,40,40,40,38,31,35,36,33,32,31,26,27
394380,232,Bend,OR,37,37,38,39,38,36,36,37,37,33,32,32,31,31
395047,233,Saginaw,MI,39,44,46,48,45,42,41,40,42,38,36,35,34,32
395202,234,Warner Robins,GA,37,36,39,43,39,40,40,42,40,34,37,34,33,32
395151,235,Terre Haute,IN,33,33,36,33,36,35,36,37,37,35,34,32,33,31
395162,236,Torrington,CT,50,48,51,52,52,51,53,50,51,47,47,47,48,44
395009,237,Punta Gorda,FL,37,38,40,41,38,39,40,37,36,35,35,39,34,34
394748,241,Kingston,NY,45,47,47,56,61,57,57,60,72,69,66,63,64,58
394960,242,Panama City,FL,38,41,40,39,26,43,43,43,42,40,38,37,34,32
394729,243,Joplin,MO,39,38,37,39,40,40,40,40,37,36,35,35,33,33
394539,244,Dover,DE,44,46,46,42,49,46,47,48,46,43,46,42,41,40
394712,246,Jackson,TN,32,32,32,32,32,33,33,31,33,35,35,34,34,33
395246,247,Yuba City,CA,32,32,35,35,34,32,33,32,31,27,28,28,29,28
395119,249,St. George,UT,29,30,29,31,26,27,28,28,28,26,26,25,25,25
394896,250,Muskegon,MI,43,42,36,46,43,41,42,43,42,35,37,36,36,31
394299,251,Abilene,TX,23,25,27,27,27,28,29,27,27,31,34,32,31,32
