region_id,size_rank,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023,5/31/2023
40,10,New Jersey,"$344,473.30 ","$351,285.25 ","$354,290.24 ","$366,879.29 ","$383,743.78 ","$399,602.59 ","$412,261.04 ","$419,235.25 ","$430,832.25 ","$447,645.45 ","$455,567.34 ","$453,428.90 ","$458,184.99 ","$464,602.36 ","$468,096.22 "
56,11,Virginia,"$281,415.90 ","$285,189.05 ","$288,924.07 ","$299,528.87 ","$310,970.97 ","$323,143.16 ","$332,043.44 ","$335,307.07 ","$346,224.68 ","$360,863.59 ","$366,794.98 ","$365,257.01 ","$366,239.72 ","$369,522.32 ","$372,301.24 "
59,12,Washington,"$423,132.91 ","$434,417.97 ","$442,119.11 ","$462,991.91 ","$487,143.23 ","$514,830.72 ","$537,506.55 ","$547,850.12 ","$573,165.53 ","$609,553.47 ","$607,900.81 ","$589,706.90 ","$579,819.01 ","$577,712.21 ","$579,575.08 "
8,13,Arizona,"$279,275.14 ","$287,017.94 ","$293,131.92 ","$306,570.03 ","$322,957.33 ","$345,397.90 ","$371,178.70 ","$390,817.08 ","$409,884.90 ","$435,797.73 ","$446,272.12 ","$431,169.70 ","$417,041.84 ","$414,223.05 ","$414,261.59 "
26,14,Massachusetts,"$441,376.98 ","$448,678.01 ","$454,249.00 ","$472,800.49 ","$494,247.80 ","$515,660.47 ","$528,058.85 ","$529,632.61 ","$546,099.45 ","$574,451.36 ","$582,893.66 ","$574,709.60 ","$573,059.78 ","$576,379.91 ","$580,060.66 "
53,15,Tennessee,"$200,780.65 ","$204,889.01 ","$208,442.88 ","$216,687.24 ","$225,867.18 ","$237,141.53 ","$250,729.52 ","$260,744.89 ","$276,855.67 ","$294,302.84 ","$302,029.25 ","$299,765.54 ","$300,312.09 ","$303,004.28 ","$304,344.17 "
22,16,Indiana,"$162,648.31 ","$166,309.69 ","$169,459.86 ","$176,326.39 ","$184,328.58 ","$193,356.24 ","$200,593.73 ","$204,285.77 ","$212,807.24 ","$223,861.59 ","$227,871.99 ","$226,995.80 ","$228,044.33 ","$231,141.90 ","$233,235.98 "
27,17,Maryland,"$313,606.00 ","$317,627.63 ","$320,646.76 ","$331,311.51 ","$343,796.48 ","$358,167.53 ","$367,042.33 ","$369,803.43 ","$378,372.23 ","$390,766.59 ","$393,098.42 ","$388,603.79 ","$391,214.20 ","$396,859.94 ","$399,913.85 "
32,18,Missouri,"$164,584.25 ","$167,858.81 ","$171,251.90 ","$179,291.58 ","$186,836.05 ","$196,015.58 ","$203,018.10 ","$206,302.71 ","$214,977.26 ","$226,490.64 ","$231,194.94 ","$229,951.98 ","$231,571.80 ","$235,888.76 ","$238,445.24 "
60,19,Wisconsin,"$206,220.02 ","$209,948.91 ","$213,579.16 ","$222,442.26 ","$230,052.71 ","$238,569.98 ","$246,887.51 ","$248,245.13 ","$254,417.10 ","$264,872.65 ","$268,923.98 ","$268,030.13 ","$271,761.37 ","$275,070.48 ","$276,964.40 "
10,20,Colorado,"$413,696.79 ","$421,175.46 ","$424,948.93 ","$439,745.99 ","$458,101.07 ","$482,139.67 ","$502,944.45 ","$515,803.46 ","$539,488.80 ","$569,041.49 ","$571,233.32 ","$557,451.21 ","$549,113.12 ","$548,313.84 ","$549,806.71 "
31,21,Minnesota,"$253,860.36 ","$258,597.38 ","$260,474.22 ","$268,723.07 ","$279,114.18 ","$290,670.62 ","$300,633.46 ","$302,976.52 ","$312,145.82 ","$326,021.35 ","$328,679.84 ","$324,326.40 ","$323,523.60 ","$325,937.90 ","$327,548.18 "
51,22,South Carolina,"$190,946.30 ","$194,235.07 ","$197,860.49 ","$205,446.11 ","$213,556.65 ","$222,643.02 ","$233,244.26 ","$241,322.84 ","$253,867.28 ","$270,040.35 ","$279,784.15 ","$280,588.89 ","$281,387.60 ","$283,361.12 ","$284,395.76 "
4,23,Alabama,"$152,321.00 ","$155,030.42 ","$158,034.26 ","$163,876.66 ","$169,645.20 ","$176,085.99 ","$183,436.90 ","$188,573.92 ","$195,515.00 ","$203,058.97 ","$207,524.47 ","$207,422.35 ","$210,732.52 ","$213,911.83 ","$214,510.72 "
25,24,Louisiana,"$164,544.06 ","$166,875.17 ","$168,560.95 ","$172,950.10 ","$175,015.33 ","$177,708.44 ","$179,881.52 ","$181,127.41 ","$185,628.74 ","$190,537.91 ","$192,104.64 ","$188,951.85 ","$189,064.96 ","$189,626.42 ","$189,100.50 "
24,25,Kentucky,"$143,530.06 ","$146,271.57 ","$149,554.90 ","$155,899.92 ","$161,595.83 ","$167,063.58 ","$171,437.83 ","$172,980.26 ","$179,214.72 ","$187,705.47 ","$192,376.36 ","$193,349.45 ","$195,764.17 ","$197,315.54 ","$197,948.34 "
46,26,Oregon,"$374,511.37 ","$381,422.55 ","$385,450.52 ","$401,941.48 ","$423,510.70 ","$446,681.28 ","$464,728.39 ","$475,717.61 ","$492,306.39 ","$515,159.95 ","$516,432.05 ","$503,476.12 ","$496,446.40 ","$496,829.25 ","$498,832.30 "
45,27,Oklahoma,"$134,717.51 ","$137,626.40 ","$141,097.71 ","$147,735.47 ","$154,385.12 ","$160,306.37 ","$165,563.95 ","$170,043.66 ","$177,684.22 ","$185,647.80 ","$190,209.51 ","$191,867.02 ","$193,432.95 ","$196,609.25 ","$198,397.53 "
11,28,Connecticut,"$272,743.72 ","$277,199.28 ","$279,135.22 ","$289,964.13 ","$304,914.75 ","$318,977.71 ","$326,836.91 ","$326,691.63 ","$337,524.99 ","$355,353.97 ","$364,016.98 ","$363,674.18 ","$366,202.17 ","$370,361.62 ","$373,376.03 "
55,30,Utah,"$362,006.02 ","$371,037.65 ","$377,672.68 ","$396,268.98 ","$419,793.35 ","$447,971.48 ","$475,428.39 ","$492,001.42 ","$515,595.06 ","$545,814.80 ","$545,565.14 ","$527,589.10 ","$517,863.75 ","$517,762.84 ","$518,806.38 "
19,31,Iowa,"$154,125.54 ","$157,384.97 ","$161,160.18 ","$166,176.55 ","$169,688.62 ","$174,554.58 ","$179,225.84 ","$181,522.04 ","$187,450.95 ","$196,201.11 ","$200,861.10 ","$201,485.40 ","$202,526.38 ","$206,662.95 ","$209,313.23 "
